Input Name,Input Affiliation,Matched Name,S2 Author ID,Low Volume,Special Issue
Sharifa Alghowinem,MIT,Sharifa Alghowinem,145001530,,
Farah Benamara Zitoune,University Paul Sabatier Toulouse,Farah Benamara,3350632,,
Cigdem Beyan,University of Verona,Cigdem Beyan,2457914,,
Lola Canamero,"CY Cergy Paris University, France",L. Cañamero,1713009,,1
Marco Cascio,UnitelmaSapienza University of Rome,Marco Cascio,77259716,,
Oya Celiktutan,King’s College London,Oya Celiktutan,1717313,,1
Theodora Chaspari,University of Colorado Boulder,T. Chaspari,2010813,,1
Mathieu Chollet,Glasgow,Mathieu Chollet,40325099,1,
Ting Dang,University of Melbourne,T. Dang,34806253,,
Hamdi Dibeklioğlu,Bilkent University,H. Dibeklioğlu,1723272,1,
Yue Ding,Shanghai Mental Health Center,Yue Ding,2044473626,,
Ali Etemad,Queen's Univesity,Ali Etemad,2394912477,,
Alessio Fagioli,UnitelmaSapienzaUniversityofRome,Alessio Fagioli,1962368873,,
Giancarlo Fortino,University of Calabria,G. Fortino,1691577,,
Hao Fei,University of Oxford,Hao Fei,46959445,,
Nagarajan Ganapathy,"Indian Institute of Technology Hyderabad, India",Nagarajan Ganapathy,51229309,1,
Yue Gao,Tsinghua,Yue Gao,35350470,,
Yu Gu,"University of Electronic Science and Technology of China, Hefei University",Yu Gu,144955063,,
Esam Ghaleb,Max Planck Institute for Psycholinguistics,E. Ghaleb,2398366,,
Shreya Ghosh,The University of Queensland,Shreya Ghosh,9222228,,
Eric Granger,ETS montreal,Eric Granger,145611842,,
Yanrong Guo,Hefei University of Technology,Yanrong Guo,8280010,,
Puneet Gupta,"Indian Institute of Technology Indore, India",P. Gupta,2148294805,,
Jing Han,University of Cambridge,Jing Han,2146364714,,
Shijie Hao,Hefei University of Technology,Shijie Hao,6175623,,
Kai He,"National University of Singapore, Singapore",Kai He,2256984070,,1
Jesse Hoey,University of Waterloo,J. Hoey,145803385,,
Bin Hu,Lanzhou University,B. Hu,144010725,,
Di Huang,Beihang Univeristy,Di Huang,40119164,,
Feiran Huang,Jinan University,Feiran Huang,1939569,,
Deniz Iren,"Open University, NL",Deniz Iren,2279738606,,
Ziyu Jia,Chinese Academy of Sciences,Ziyu Jia,47301741,,
David Johnson,"Bielefeld, DE",David Johnson,2150447055,,
Merel Jung,Tilburg University,Merel M. Jung,1715398,,
Heysem Kaya,Utrecht University,Heysem Kaya,38007788,,
Kostas Karpouzis,"Panteion university, Athens Greece",K. Karpouzis,1715144,1,
Dimitrios Kollias,"Queen Mary University, London",D. Kollias,1811396,,
Qian Kun,Beijing Institute of Tech,Qian Kun,2053225263,,
Alessandro Lameira-Koerich,"Ecole de Technologie Superieur, Univeriste de Quebec",Alessandro Lameiras-Koerich,1808179,,
Antonio Lanata,University of Florence,Antonio Lanatà,1730665,,
Guofa Li,Chongqing University,Guofa Li,2108347384,,
Mi Li,"Beijing University of Technology,",Mi Li,40217167,,
Qian Li,Beijing University of Posts and Telecommunications,Q. Li,2117126771,,
Ya Li,Beijing Posts and Telecommunications,Ya Li,145819440,,
Yang  (YANG on SI) Li,Northwestern,Yang Li,2290159252,,
Yang Li,"Xidian University, P.R. China,",Yang Li,2154899624,,
Zheng Lian,"Institute of Automation, Chinese Academy of Sciences",Zheng Lian,145824699,,
Jane (Zhen) Liang,Shenzen University,Zhen Liang,2087124567,,
An-An Liu,Tianjin University,Anan Liu,143602033,,
Rui Liu,"Inner Mongolia Unviersity, China",Rui Liu,2325112149,1,
Yong-Jin Liu,"Tsinghua University, P.R. China,",Yong-Jin Liu,46398687,,
Paula Lopez-Otero,Spitz AG,Paula Lopez-Otero,1403341291,,
Gale Lucas,University of Southern California,Gale M. Lucas,2419453,,
Marwa Mahmood,University of Glasgow,M. Mahmood,97930679,,1
